bbl,parent_property_id,gross_floor_area,first_area_type,year_built,metered_area_energy,metered_area_water,eui_kbtu_sf,steam_kbtu,natural_gas_kbtu,electricity_kbtu,total_ghg_mmco2e,direct_ghg_mmco2e,indirect_ghg_mmco2e,water_kgal,wui_gal_sf,year,occupancy,street_number,street_name
1013160001,13286,289356.0,Office,1963,Whole Building,,305.6,51550675.1,,38139374.2,6962.2,0.0,6962.2,,,2017,100,675,3 AVENUE
1021380040,28400,3693539.0,Hospital (General Medical & Surgical),1969,Whole Building,Whole Building,229.8,-391414802.6,933073441.0,332365924.0,55870.4,51016.4,4854.1,,,2017,100,180,FT WASHINGTON AVENUE
1021380030,28400,152765.0,Hospital (General Medical & Surgical),1924,,,,,,,0.0,0.0,0.0,,,2017,100,3975,BROADWAY
1021390001,28400,891040.0,Hospital (General Medical & Surgical),1971,,,,,,,0.0,0.0,0.0,,,2017,100,161,FT WASHINGTON AVENUE
1021390085,28400,211400.0,Hospital (General Medical & Surgical),1932,,,,,,,0.0,0.0,0.0,,,2017,100,193,FT WASHINGTON AVENUE
1014800001,28402,2230742.0,Hospital (General Medical & Surgical),1932,Whole Building,Whole Building,359.9,-469079690.9,1432250876.9,86335350.5,54429.8,77564.1,-23134.3,,,2017,100,1176,YORK AVENUE
1014820040,28402,245000.0,Other,1932,,,,,,,0.0,0.0,0.0,,,2017,60,512,EAST 71 STREET
4084890001,2610789,3750565.0,Multifamily Housing,1974,Whole Building,Combination of common and tenant areas,143974.4,,394285242148.0,,20943400.0,20943400.0,0.0,107151.5,39.13,2017,100,269,GRAND CENTRAL PKWY
4084890001,2610789,3750565.0,Other,1974,Whole Building,,1138.3,,,227658.1,21.1,0.0,21.1,19261.1,96305.69,2017,100,269,GRAND CENTRAL PKWY
4084890001,2610789,3750565.0,Other,1974,Whole Building,,,,,,0.0,0.0,0.0,,,2017,100,269,GRAND CENTRAL PKWY
4084890001,2610789,3750565.0,Other,1974,Whole Building,,,,,,0.0,0.0,0.0,,,2017,100,269,GRAND CENTRAL PKWY
4084890001,2610789,3750565.0,Other,1974,Whole Building,,,,,,0.0,0.0,0.0,,,2017,100,269,GRAND CENTRAL PKWY
