bbl,parent_property_id,gross_floor_area,first_area_type,year_built,metered_area_energy,metered_area_water,eui_kbtu_sf,steam_kbtu,natural_gas_kbtu,electricity_kbtu,total_ghg_mmco2e,direct_ghg_mmco2e,indirect_ghg_mmco2e,water_kgal,wui_gal_sf,year,occupancy,street_number,street_name
2024530035,,67114.0,Multifamily Housing,1942.0,Whole Building,Whole Building,24.5,,533000.0,1108156.2,120.2,28.3,91.9,6640.5,98.94,2016,100.0,1226,SHERMAN AVENUE      
2024530041,,63535.0,Multifamily Housing,1942.0,Another configuration,Whole Building,93.0,,5021000.0,890119.2,340.5,266.7,73.8,46.4,0.73,2016,100.0,1240,SHERMAN AVENUE      
2024530045,,60360.0,Multifamily Housing,1927.0,Whole Building,Whole Building,77.1,,2063086.4,958846.2,316.1,236.6,79.5,8226.3,134.07,2016,100.0,1254,SHERMAN AVENUE      
2024530055,,65130.0,Multifamily Housing,1925.0,Whole Building,Whole Building,89.4,,4780634.0,1039356.0,340.1,253.9,86.2,4802.3,73.73,2016,100.0,1280,SHERIDAN AVENUE     
2024530068,,93570.0,Multifamily Housing,2008.0,Whole Building,Whole Building,145.1,,10386270.0,3192622.4,816.4,551.7,264.8,6186.9,66.12,2016,100.0,1275,GRANT AVENUE        
2024530081,,93570.0,Multifamily Housing,2008.0,Whole Building,Whole Building,145.1,,10386270.0,3192622.4,816.4,551.7,264.8,6588.6,70.41,2016,100.0,1259,GRANT AVENUE        
2024540011,,84826.0,Multifamily Housing,1948.0,Whole Building,,143.8,,366886.7,1162590.1,921.9,825.4,96.4,,,2016,100.0,910,SHERIDAN AVENUE     
2024540019,,69144.0,Multifamily Housing,1951.0,Whole Building,Whole Building,101.8,,5548699.6,1285071.8,401.3,294.7,106.6,5200.0,77.45,2016,100.0,930,SHERIDAN AVENUE     
2024550006,,66162.0,Multifamily Housing,1926.0,Whole Building,Whole Building,96.1,,5214209.4,1141768.0,371.6,277.0,94.7,5071.7,76.66,2016,100.0,960,SHERIDAN AVENUE     
2024550018,,86000.0,Multifamily Housing,1928.0,Whole Building,Whole Building,76.6,,4388620.2,1107364.5,407.2,315.4,91.8,,,2016,100.0,984,SHERIDAN AVENUE     
2024550053,,135202.0,Multifamily Housing,1927.0,Whole Building,Whole Building,27.1,,220100.0,145985.8,23.8,11.7,12.1,0.0,0.0,2016,100.0,201,EAST  164 STREET    
2024560065,,70220.0,Multifamily Housing,1928.0,Whole Building,,101.6,,6149254.0,981593.6,408.0,326.6,81.4,,,2016,100.0,1112,CARROLL PLACE       
