bbl,street_number,street_name,first_area_type,year,year_built,gross_floor_area,eui_kbtu_sf,steam_kbtu_sf,natural_gas_kbtu_sf,electricity_kbtu_sf,total_ghg_mmco2e_sf,direct_ghg_mmco2e_sf,indirect_ghg_mmco2e_sf
1018850040,514,WEST  114 STREET    ,Multifamily Housing,2016,1908,57300,6.6,,2.5218150087,2.3794677138,0.0003315881,0.0001343805,0.0001972077
1018850043,520,WEST 114 STREET,Residence Hall/Dormitory,2017,1908,57430,6.8,,2.0146265018,3.0061013408,0.0003865575,0.0001062163,0.0002786
1018850043,520,WEST  114 STREET    ,Residence Hall/Dormitory,2016,1908,57430,11.1,,4.8354518544,3.2723837715,0.0005275988,0.0002559638,0.000271635
1018850061,2910,BROADWAY,Residence Hall/Dormitory,2017,1898,52624,30.4,,1.6190331408,40.030569702,0.0038005473,8.55123137731833E-05,0.003715035
1018850061,2910,BROADWAY            ,Residence Hall/Dormitory,2016,1898,52624,31.1,,0,42.5721970964,0.0035307084,0,0.0035307084
1018857501,2900,BROADWAY,Residence Hall/Dormitory,2017,1924,135458,34.2,,,35.3446714111,0.0032799835,0,0.0032799835
1018857501,2900,BROADWAY            ,Residence Hall/Dormitory,2016,1924,135458,34.3,,,35.4252735165,0.0029381801,0,0.0029381801
1018860001,1100,WEST 114 STREET     ,Office,2016,1999,1510966,,,,,0,0,0
1019610001,1145,AMSTERDAM AVENUE,Residence Hall/Dormitory,2017,1925,710600,0,,0,,0,0,0
1019610001,1145,AMSTERDAM AVENUE,Office,2017,1961,710600,73.4,,,25.8055906276,0.0023947368,0,0.0023947368
1019610001,1145,AMSTERDAM AVENUE,Office,2017,1950,710600,0,,0,,0,0,0
1019610001,1145,AMSTERDAM AVENUE,Office,2017,1950,710600,,,,,0,0,0
1019610001,1145,AMSTERDAM AVENUE,Office,2017,1950,710600,,,,,0,0,0
1019610001,1145,AMSTERDAM AVENUE    ,Office,2016,1950,710600,,,,,0,0,0
1019610039,1165,AMSTERDAM AVENUE,Office,2017,1910,422915,69.9,,,70.009271603,0.0064968138,0,0.0064968138
1019610039,1165,AMSTERDAM AVENUE    ,Office,2016,1910,422915,71.1,,,71.1839459466,0.0059035504,0,0.0059035504
